technique_id,technique_name,tactic,platforms,subtechniques,parent_technique,groups,software,campaigns,data_sources,data_components,mitigations,detection_text,system_requirements,permissions_required,effective_permissions,stealth_score,noise_score,log_surface_area,privilege_stealth_factor,detection_difficulty,lolbin_usage,edr_visibility,cloud_visibility
T1027.011,Fileless Storage,stealth,Linux|Windows,,,G0010|G0050,S0022|S0023|S0126|S0180|S0198|S0256|S0263|S0269|S0343|S0476|S0496|S0501|S0511|S0517|S0518|S0531|S0589|S0596|S0631|S0650|S0662|S0663|S0665|S0666|S0668|S0673|S1145,C0012|C0055,,,M1047,,,,,10,0,0,1,unknown,,,
T1067,Bootkit,persistence,Linux|Windows,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1037,Boot or Logon Initialization Scripts,persistence|privilege-escalation,ESXi|Linux|Network Devices|Windows|macOS,,,G0016|G0096|G0106|G1048,S1078|S1217|S9024,C0046,,,M1022|M1024,,,,,10,0,0,1,unknown,,,
T1557,Adversary-in-the-Middle,collection|credential-access,Linux|Network Devices|Windows|macOS,,,G0094|G0129|G1041,S0281|S1131|S1188|S9003,C0046,,,M1017|M1030|M1031|M1035|M1037|M1041|M1042,,,,,10,0,0,1,unknown,,,
T1033,System Owner/User Discovery,discovery,Linux|Network Devices|Windows|macOS,,,G0004|G0022|G0027|G0032|G0034|G0035|G0038|G0040|G0046|G0047|G0049|G0050|G0051|G0059|G0061|G0067|G0069|G0073|G0081|G0082|G0087|G0093|G0094|G0096|G0102|G0112|G0114|G0121|G0125|G0128|G0143|G1001|G1006|G1014|G1017|G1035|G1036|G1046|G1051|G1054,S0013|S0015|S0017|S0021|S0024|S0058|S0059|S0060|S0084|S0085|S0091|S0092|S0093|S0094|S0098|S0113|S0115|S0125|S0130|S0139|S0148|S0149|S0153|S0155|S0161|S0162|S0168|S0171|S0172|S0184|S0186|S0192|S0201|S0214|S0219|S0223|S0228|S0236|S0237|S0240|S0241|S0242|S0248|S0249|S0250|S0251|S0256|S0257|S0258|S0260|S0262|S0265|S0266|S0267|S0269|S0270|S0272|S0275|S0280|S0284|S0331|S0332|S0334|S0339|S0340|S0344|S0348|S0350|S0351|S0353|S0354|S0356|S0362|S0363|S0367|S0374|S0379|S0381|S0382|S0385|S0391|S0401|S0412|S0414|S0428|S0431|S0433|S0439|S0441|S0447|S0448|S0450|S0455|S0456|S0459|S0460|S0461|S0476|S0477|S0486|S0498|S0513|S0514|S0515|S0521|S0531|S0532|S0533|S0534|S0543|S0554|S0559|S0568|S0569|S0572|S0590|S0596|S0610|S0615|S0627|S0631|S0632|S0635|S0644|S0647|S0649|S0650|S0652|S0657|S0659|S0660|S0662|S0663|S0666|S0667|S0673|S0680|S0681|S0691|S0692|S0694|S0696|S1013|S1015|S1016|S1018|S1021|S1024|S1025|S1028|S1029|S1030|S1032|S1034|S1035|S1037|S1039|S1044|S1059|S1060|S1064|S1065|S1068|S1075|S1081|S1087|S1106|S1124|S1130|S1141|S1146|S1147|S1148|S1149|S1153|S1160|S1169|S1172|S1207|S1226|S1228|S1229|S1239|S1240|S1245|S1248|S1249|S9019|S9020|S9023|S9029|S9035|S9037,C0001|C0002|C0012|C0014|C0017|C0018|C0058|C0061,,,,,,,,10,0,0,1,unknown,,,
T1583,Acquire Infrastructure,resource-development,PRE,,,G0034|G0094|G0119|G1003|G1030|G1033|G1041|G1052,,,,,M1056,,,,,10,0,0,1,unknown,,,
T1218.011,Rundll32,stealth,Windows,,,G0007|G0008|G0022|G0032|G0034|G0046|G0047|G0050|G0052|G0059|G0069|G0073|G0082|G0092|G0094|G0096|G0102|G0108|G0125|G0127|G0140|G0143|G1034|G1039|G1048|G1053,S0032|S0044|S0045|S0046|S0074|S0081|S0082|S0093|S0113|S0137|S0139|S0141|S0142|S0143|S0147|S0148|S0154|S0167|S0196|S0204|S0236|S0244|S0250|S0255|S0256|S0260|S0267|S0268|S0342|S0353|S0356|S0368|S0381|S0382|S0412|S0438|S0452|S0461|S0481|S0483|S0512|S0518|S0520|S0554|S0559|S0568|S0576|S0589|S0606|S0634|S0635|S0637|S0650|S0698|S1026|S1027|S1030|S1039|S1044|S1050|S1052|S1064|S1100|S1122|S1130|S1160|S1183|S1190|S1196,C0005|C0015|C0018|C0021|C0022|C0024|C0028|C0037,,,M1050,,,,,10,0,0,1,unknown,,,
T1613,Container and Resource Discovery,discovery,Containers,,,G0139,S0601|S0683,,,,M1018|M1030|M1035,,,,,10,0,0,1,unknown,,,
T1583.007,Serverless,resource-development,PRE,,,,,C0040,,,M1056,,,,,10,0,0,1,unknown,,,
T1143,Hidden Window,stealth,Windows|macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
