technique_id,technique_name,tactic,platforms,subtechniques,parent_technique,groups,software,campaigns,data_sources,data_components,mitigations,detection_text,system_requirements,permissions_required,effective_permissions,stealth_score,noise_score,log_surface_area,privilege_stealth_factor,detection_difficulty,lolbin_usage,edr_visibility,cloud_visibility
T1137.006,Add-ins,persistence,Office Suite|Windows,,,G0019,S0268|S1142|S1143,,,,M1040,,,,,10,0,0,1,unknown,,,
T1685.002,Disable or Modify Cloud Log,defense-impairment,IaaS|Identity Provider|Office Suite|SaaS,,,G0016,S1091,,,,M1018,,,,,10,0,0,1,unknown,,,
T1505.002,Transport Agent,persistence,Linux|Windows,,,,S0395,,,,M1026|M1045|M1047,,,,,10,0,0,1,unknown,,,
T1082,System Information Discovery,discovery,ESXi|IaaS|Linux|Network Devices|Windows|macOS,,,G0004|G0010|G0012|G0018|G0022|G0026|G0032|G0034|G0038|G0040|G0046|G0047|G0049|G0050|G0054|G0059|G0061|G0067|G0069|G0073|G0081|G0082|G0094|G0096|G0100|G0102|G0106|G0108|G0112|G0121|G0124|G0126|G0128|G0129|G0139|G0143|G1001|G1008|G1009|G1012|G1015|G1016|G1018|G1020|G1026|G1034|G1035|G1036|G1039|G1040|G1043|G1044|G1051|G1052|G1053|G1054|G1055,S0013|S0015|S0017|S0021|S0022|S0024|S0031|S0032|S0043|S0045|S0046|S0048|S0051|S0058|S0059|S0060|S0062|S0065|S0079|S0081|S0082|S0083|S0084|S0085|S0086|S0088|S0089|S0091|S0093|S0094|S0096|S0098|S0105|S0106|S0113|S0115|S0124|S0125|S0130|S0137|S0139|S0140|S0141|S0142|S0144|S0148|S0149|S0151|S0153|S0155|S0156|S0157|S0161|S0165|S0171|S0172|S0176|S0180|S0181|S0182|S0184|S0186|S0192|S0196|S0198|S0199|S0201|S0203|S0205|S0208|S0211|S0214|S0215|S0216|S0217|S0218|S0219|S0223|S0228|S0229|S0230|S0233|S0236|S0237|S0238|S0239|S0240|S0241|S0242|S0244|S0245|S0247|S0248|S0249|S0250|S0251|S0252|S0253|S0254|S0257|S0259|S0260|S0262|S0264|S0265|S0266|S0267|S0268|S0270|S0271|S0272|S0275|S0280|S0283|S0284|S0330|S0331|S0332|S0334|S0337|S0339|S0340|S0344|S0346|S0348|S0350|S0351|S0352|S0353|S0354|S0355|S0356|S0363|S0373|S0374|S0376|S0378|S0379|S0380|S0381|S0382|S0384|S0385|S0386|S0387|S0388|S0391|S0395|S0402|S0409|S0410|S0412|S0414|S0417|S0428|S0431|S0433|S0439|S0441|S0445|S0447|S0448|S0449|S0450|S0451|S0453|S0454|S0455|S0456|S0457|S0460|S0461|S0462|S0464|S0467|S0468|S0473|S0475|S0476|S0482|S0483|S0484|S0486|S0487|S0493|S0496|S0501|S0504|S0512|S0513|S0514|S0516|S0520|S0531|S0532|S0533|S0534|S0543|S0546|S0547|S0553|S0554|S0556|S0559|S0567|S0568|S0569|S0572|S0584|S0585|S0587|S0596|S0601|S0603|S0604|S0610|S0615|S0622|S0627|S0631|S0632|S0634|S0635|S0641|S0642|S0644|S0646|S0647|S0649|S0650|S0652|S0657|S0658|S0659|S0660|S0662|S0663|S0665|S0666|S0667|S0669|S0670|S0673|S0674|S0679|S0680|S0681|S0687|S0688|S0690|S0691|S0692|S0693|S0697|S1013|S1015|S1016|S1018|S1019|S1020|S1022|S1025|S1026|S1028|S1029|S1030|S1031|S1034|S1037|S1039|S1048|S1052|S1059|S1060|S1064|S1065|S1066|S1068|S1070|S1073|S1078|S1081|S1085|S1086|S1100|S1107|S1111|S1121|S1122|S1124|S1129|S1130|S1138|S1141|S1142|S1145|S1147|S1148|S1152|S1153|S1155|S1156|S1159|S1160|S1166|S1167|S1168|S1169|S1172|S1178|S1180|S1182|S1183|S1184|S1185|S1186|S1190|S1196|S1198|S1199|S1200|S1202|S1207|S1210|S1212|S1213|S1222|S1228|S1229|S1234|S1239|S1240|S1242|S1244|S1245|S1246|S1248|S1249|S9001|S9002|S9008|S9010|S9019|S9020|S9023|S9024|S9025|S9029|S9031|S9034|S9035|S9037|S9039,C0001|C0006|C0007|C0012|C0014|C0029|C0035|C0044|C0046|C0047|C0049|C0058|C0060|C0062,,,,,,,,10,0,0,1,unknown,,,
T1071,Application Layer Protocol,command-and-control,ESXi|Linux|Network Devices|Windows|macOS,,,G0059|G0106|G0139|G1032|G1047,S0034|S0038|S0532|S0601|S0623|S0633|S0660|S1084|S1130|S1147,C0041,,,M1031|M1037,,,,,10,0,0,1,unknown,,,
T1574.014,AppDomainManager,execution|stealth,Windows,,,,S1152,,,,M1022,,,,,10,0,0,1,unknown,,,
T1074.002,Remote Data Staging,collection,ESXi|IaaS|Linux|Windows|macOS,,,G0007|G0027|G0037|G0045|G0061|G0065|G0114|G1019|G1022|G1041|G1054,S1043,C0002|C0024,,,,,,,,10,0,0,1,unknown,,,
T1098.006,Additional Container Cluster Roles,persistence|privilege-escalation,Containers,,,,,,,,M1018|M1032,,,,,10,0,0,1,unknown,,,
T1053,Scheduled Task/Job,execution|persistence|privilege-escalation,Containers|ESXi|Linux|Network Devices|Windows|macOS,,,,S0447,C0063,,,M1018|M1022|M1026|M1028|M1047,,,,,10,0,0,1,unknown,,,
T1218.007,Msiexec,stealth,Windows,,,G0021|G0075|G0082|G0092|G0095|G0128,S0038|S0381|S0449|S0451|S0455|S0481|S0483|S0528|S0530|S0531|S0584|S0592|S0611|S0631|S0650|S0662|S1052|S1122|S1130|S1160|S1240|S9021|S9034,C0047|C0057,,,M1026|M1042,,,,,10,0,0,1,unknown,,,
T1162,Login Item,persistence,macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1590.003,Network Trust Dependencies,reconnaissance,PRE,,,,,,,,M1056,,,,,10,0,0,1,unknown,,,
T1498.002,Reflection Amplification,impact,IaaS|Linux|Windows|macOS,,,,,,,,M1037,,,,,10,0,0,1,unknown,,,
T1556.002,Password Filter DLL,credential-access|defense-impairment|persistence,Windows,,,G0041|G0049|G1054,S0125,,,,M1028,,,,,10,0,0,1,unknown,,,
T1505.005,Terminal Services DLL,persistence,Windows,,,,,,,,M1024|M1047,,,,,10,0,0,1,unknown,,,
T1059.002,AppleScript,execution,macOS,,,,S0281|S0482|S0595|S1048|S1153|S9010,,,,M1038|M1045,,,,,10,0,0,1,unknown,,,
T1176,Software Extensions,persistence,Linux|Windows|macOS,,,,,,,,M1017|M1033|M1038|M1047|M1051,,,,,10,0,0,1,unknown,,,
T1499.002,Service Exhaustion Flood,impact,IaaS|Linux|Windows|macOS,,,,,,,,M1037,,,,,10,0,0,1,unknown,,,
T1195.003,Compromise Hardware Supply Chain,initial-access,Linux|Windows|macOS,,,,,,,,M1046,,,,,10,0,0,1,unknown,,,
T1106,Native API,execution,Linux|Windows|macOS,,,G0010|G0032|G0034|G0045|G0047|G0067|G0078|G0081|G0082|G0090|G0091|G0092|G0094|G0098|G0114|G0126|G0129|G1008|G1022|G1051,S0011|S0013|S0022|S0032|S0045|S0083|S0084|S0085|S0126|S0128|S0141|S0147|S0148|S0154|S0161|S0180|S0198|S0234|S0239|S0240|S0242|S0256|S0259|S0260|S0266|S0268|S0354|S0356|S0363|S0367|S0384|S0385|S0386|S0391|S0395|S0396|S0398|S0412|S0416|S0431|S0434|S0435|S0438|S0444|S0445|S0446|S0447|S0448|S0449|S0453|S0455|S0456|S0457|S0458|S0466|S0470|S0471|S0475|S0477|S0483|S0484|S0493|S0496|S0499|S0501|S0512|S0517|S0518|S0521|S0531|S0534|S0537|S0554|S0561|S0562|S0569|S0570|S0574|S0575|S0576|S0579|S0595|S0603|S0606|S0607|S0610|S0611|S0612|S0614|S0615|S0622|S0623|S0625|S0627|S0629|S0630|S0631|S0632|S0638|S0640|S0650|S0651|S0652|S0653|S0659|S0661|S0662|S0663|S0666|S0667|S0668|S0669|S0670|S0678|S0680|S0681|S0687|S0688|S0689|S0692|S0693|S0694|S0695|S0696|S0697|S0698|S1013|S1015|S1016|S1018|S1020|S1025|S1033|S1034|S1039|S1044|S1050|S1052|S1053|S1058|S1059|S1060|S1063|S1064|S1065|S1066|S1070|S1073|S1076|S1078|S1081|S1085|S1087|S1089|S1090|S1099|S1100|S1111|S1122|S1129|S1139|S1145|S1149|S1151|S1152|S1160|S1169|S1170|S1172|S1179|S1180|S1190|S1200|S1202|S1207|S1210|S1226|S1227|S1228|S1229|S1232|S1233|S1234|S1236|S1237|S1239|S1242|S1244|S1247|S9001|S9007|S9012|S9016|S9018|S9020|S9021|S9025|S9027|S9032|S9033|S9036|S9037|S9038,C0006|C0013|C0014|C0022|C0061,,,M1038|M1040,,,,,10,0,0,1,unknown,,,
T1558.005,Ccache Files,credential-access,Linux|macOS,,,,S0357,,,,M1043|M1047,,,,,10,0,0,1,unknown,,,
T1070.007,Clear Network Connection History and Configurations,stealth,Linux|Network Devices|Windows|macOS,,,G1017|G1048,S0559,C0056,,,M1024|M1029,,,,,10,0,0,1,unknown,,,
T1558.004,AS-REP Roasting,credential-access,Windows,,,,S1071,,,,M1027|M1041|M1047,,,,,10,0,0,1,unknown,,,
T1058,Service Registry Permissions Weakness,persistence|privilege-escalation,Windows,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1584.003,Virtual Private Server,resource-development,PRE,,,G0010|G1017,,C0048|C0063,,,M1056,,,,,10,0,0,1,unknown,,,
T1059.010,AutoHotKey & AutoIT,execution,Windows,,,G0087,S0530|S1017|S1111|S1207|S1213,,,,M1038,,,,,10,0,0,1,unknown,,,
T1600.001,Reduce Key Space,defense-impairment,Network Devices,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1070.003,Clear Command History,stealth,ESXi|Linux|Network Devices|Windows|macOS,,,G0032|G0045|G0059|G0096|G0139|G0143|G1023|G1051,S0601|S0641|S1203,,,,M1022|M1029|M1039,,,,,10,0,0,1,unknown,,,
T1202,Indirect Command Execution,stealth,Windows,,,G0032|G1039,S0193|S0379,,,,,,,,,10,0,0,1,unknown,,,
T1024,Custom Cryptographic Protocol,command-and-control,Linux|Windows|macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1536,Revert Cloud Instance,stealth,IaaS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1091,Replication Through Removable Media,initial-access|lateral-movement,Windows,,,G0007|G0012|G0046|G0047|G0081|G0129|G1007|G1014,S0013|S0023|S0028|S0062|S0092|S0115|S0130|S0132|S0136|S0143|S0385|S0386|S0452|S0458|S0603|S0608|S0650|S1074|S1130|S1230,,,,M1034|M1040|M1042,,,,,10,0,0,1,unknown,,,
T1005,Data from Local System,collection,ESXi|Linux|Network Devices|Windows|macOS,,,G0001|G0004|G0006|G0007|G0010|G0016|G0022|G0027|G0032|G0034|G0035|G0037|G0038|G0040|G0045|G0046|G0047|G0049|G0059|G0060|G0067|G0070|G0082|G0087|G0093|G0094|G0096|G0100|G0102|G0117|G0124|G0125|G0138|G0143|G1003|G1004|G1012|G1014|G1016|G1017|G1022|G1030|G1039|G1054|G1055,S0009|S0011|S0012|S0015|S0020|S0022|S0036|S0048|S0050|S0079|S0083|S0084|S0090|S0115|S0128|S0154|S0169|S0193|S0194|S0197|S0203|S0208|S0211|S0223|S0234|S0237|S0238|S0239|S0240|S0248|S0250|S0260|S0262|S0265|S0266|S0268|S0274|S0275|S0337|S0340|S0352|S0356|S0381|S0385|S0386|S0395|S0404|S0409|S0412|S0444|S0448|S0452|S0458|S0461|S0467|S0477|S0492|S0498|S0500|S0502|S0503|S0512|S0514|S0515|S0517|S0520|S0526|S0533|S0534|S0538|S0559|S0564|S0567|S0572|S0594|S0598|S0610|S0615|S0622|S0629|S0630|S0632|S0634|S0642|S0645|S0646|S0650|S0651|S0652|S0653|S0658|S0660|S0661|S0662|S0663|S0665|S0666|S0667|S0668|S0670|S0671|S0672|S0673|S0674|S0686|S0687|S0690|S0691|S0694|S0696|S1012|S1013|S1014|S1015|S1016|S1017|S1018|S1019|S1020|S1021|S1022|S1023|S1025|S1026|S1028|S1029|S1031|S1034|S1037|S1039|S1043|S1044|S1050|S1059|S1060|S1063|S1064|S1065|S1075|S1085|S1089|S1090|S1099|S1101|S1102|S1110|S1111|S1113|S1131|S1132|S1146|S1148|S1149|S1159|S1160|S1196|S1200|S1224|S1229|S1240|S1245|S1246|S9009|S9010|S9015|S9020|S9023|S9024|S9035,C0001|C0002|C0004|C0006|C0012|C0014|C0015|C0017|C0022|C0024|C0026|C0029|C0048|C0058|C0062,,,M1057,,,,,10,0,0,1,unknown,,,
T1140,Deobfuscate/Decode Files or Information,stealth,ESXi|Linux|Windows|macOS,,,G0004|G0007|G0010|G0012|G0021|G0027|G0032|G0034|G0045|G0046|G0047|G0049|G0060|G0065|G0069|G0073|G0078|G0081|G0082|G0087|G0090|G0092|G0094|G0106|G0126|G0128|G0129|G0139|G1006|G1016|G1017|G1021|G1026|G1030|G1035|G1036|G1043|G1046,S0011|S0013|S0022|S0024|S0032|S0052|S0115|S0126|S0127|S0140|S0141|S0147|S0154|S0160|S0180|S0182|S0188|S0189|S0196|S0223|S0226|S0230|S0234|S0236|S0239|S0240|S0251|S0255|S0257|S0258|S0260|S0263|S0264|S0266|S0268|S0269|S0270|S0279|S0280|S0284|S0330|S0331|S0335|S0344|S0347|S0348|S0352|S0353|S0354|S0355|S0356|S0361|S0367|S0369|S0373|S0375|S0377|S0386|S0388|S0390|S0394|S0395|S0398|S0401|S0402|S0409|S0414|S0415|S0428|S0430|S0434|S0436|S0439|S0443|S0444|S0447|S0448|S0455|S0456|S0457|S0458|S0461|S0466|S0468|S0469|S0470|S0473|S0475|S0476|S0477|S0482|S0487|S0492|S0495|S0496|S0499|S0501|S0502|S0511|S0512|S0513|S0514|S0515|S0516|S0517|S0518|S0520|S0526|S0531|S0532|S0534|S0543|S0546|S0547|S0554|S0560|S0562|S0565|S0567|S0574|S0575|S0576|S0579|S0581|S0582|S0584|S0585|S0588|S0589|S0596|S0598|S0601|S0603|S0604|S0610|S0611|S0612|S0613|S0614|S0615|S0618|S0622|S0623|S0624|S0628|S0629|S0631|S0632|S0634|S0635|S0636|S0637|S0638|S0640|S0641|S0642|S0647|S0650|S0653|S0660|S0661|S0663|S0665|S0666|S0667|S0669|S0670|S0673|S0674|S0678|S0681|S0687|S0689|S0690|S0697|S1012|S1013|S1014|S1016|S1018|S1019|S1022|S1025|S1026|S1027|S1028|S1030|S1031|S1032|S1039|S1041|S1046|S1047|S1050|S1051|S1052|S1053|S1059|S1060|S1063|S1065|S1066|S1076|S1078|S1085|S1086|S1097|S1100|S1105|S1110|S1111|S1112|S1113|S1115|S1117|S1118|S1119|S1120|S1122|S1123|S1130|S1133|S1134|S1138|S1139|S1140|S1141|S1142|S1143|S1145|S1147|S1148|S1149|S1150|S1153|S1158|S1159|S1160|S1164|S1168|S1170|S1172|S1173|S1179|S1180|S1182|S1183|S1186|S1190|S1199|S1200|S1202|S1207|S1210|S1212|S1213|S1219|S1221|S1222|S1223|S1224|S1226|S1227|S1228|S1232|S1235|S1236|S1239|S1240|S1244|S1245|S1247|S1248|S1249|S9001|S9007|S9010|S9011|S9014|S9015|S9016|S9018|S9019|S9021|S9023|S9024|S9025|S9026|S9027|S9028|S9029|S9031|S9032|S9033|S9034|S9035|S9036|S9037,C0001|C0005|C0006|C0016|C0017|C0021|C0024|C0037|C0044|C0046|C0051|C0056|C0058|C0063,,,,,,,,10,0,0,1,unknown,,,
T1137.005,Outlook Rules,persistence,Office Suite|Windows,,,,S0358,,,,M1040|M1051,,,,,10,0,0,1,unknown,,,
T1562,Impair Defenses,stealth,Containers|ESXi|IaaS|Identity Provider|Linux|Network Devices|Office Suite|Windows|macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1586.003,Cloud Accounts,resource-development,PRE,,,G0016|G0099,,C0040,,,M1056,,,,,10,0,0,1,unknown,,,
T1586.002,Email Accounts,resource-development,PRE,,,G0007|G0016|G0049|G0059|G0065|G0090|G0094|G0099|G0129|G0136|G1001|G1004|G1033|G1037,,C0059|C0060,,,M1056,,,,,10,0,0,1,unknown,,,
T1098.007,Additional Local or Domain Groups,persistence|privilege-escalation,Linux|Windows|macOS,,,G0022|G0035|G0059|G0094|G0096|G1016|G1023,S0039|S0382|S0649|S1111,,,,,,,,,10,0,0,1,unknown,,,
T1608.001,Upload Malware,resource-development,PRE,,,G0027|G0034|G0046|G0047|G0049|G0050|G0090|G0092|G0094|G0099|G0129|G0139|G0140|G1001|G1002|G1006|G1008|G1011|G1014|G1018|G1020|G1031|G1033|G1036|G1043|G1044|G1052,S9008,C0002|C0005|C0010|C0011|C0013|C0021|C0022|C0047,,,M1056,,,,,10,0,0,1,unknown,,,
T1195,Supply Chain Compromise,initial-access,Linux|SaaS|Windows|macOS,,,G0034|G0049|G1003,S1148|S1213,,,,M1013|M1016|M1018|M1033|M1046|M1051,,,,,10,0,0,1,unknown,,,
T1190,Exploit Public-Facing Application,initial-access,Containers|ESXi|IaaS|Linux|Network Devices|Windows|macOS,,,G0001|G0004|G0007|G0016|G0027|G0034|G0035|G0045|G0046|G0059|G0065|G0069|G0087|G0093|G0094|G0096|G0098|G0106|G0108|G0115|G0117|G0123|G0125|G0135|G1003|G1006|G1009|G1016|G1017|G1021|G1022|G1023|G1030|G1032|G1035|G1040|G1041|G1043|G1045|G1048|G1051|G1053|G1054|G1055,S0224|S0225|S0412|S0516|S0623|S1105|S1184|S1242,C0002|C0012|C0014|C0017|C0018|C0024|C0027|C0029|C0038|C0039|C0041|C0045|C0046|C0048|C0049|C0052|C0053|C0055|C0058|C0061|C0062,,,M1016|M1026|M1030|M1035|M1037|M1048|M1050|M1051,,,,,10,0,0,1,unknown,,,
T1558,Steal or Forge Kerberos Tickets,credential-access,Linux|Windows|macOS,,,G1024,,C0063,,,M1015|M1026|M1027|M1041|M1043|M1047,,,,,10,0,0,1,unknown,,,
T1555,Credentials from Password Stores,credential-access,IaaS|Linux|Windows|macOS,,,G0037|G0038|G0049|G0064|G0069|G0077|G0087|G0096|G0120|G1001|G1017|G1026,S0002|S0048|S0050|S0113|S0138|S0167|S0192|S0198|S0262|S0331|S0349|S0373|S0378|S0435|S0447|S0484|S0526|S1111|S1122|S1146|S1156|S1207|S1240|S1246|S9022,C0024|C0063,,,M1026|M1027|M1051,,,,,10,0,0,1,unknown,,,
T1567,Exfiltration Over Web Service,exfiltration,ESXi|Linux|Office Suite|SaaS|Windows|macOS,,,G0007|G0059|G1043|G1052,S0508|S0547|S0622|S1168|S1171|S1179|S1245,C0017|C0051|C0059|C0062,,,M1021|M1057,,,,,10,0,0,1,unknown,,,
T1219,Remote Access Tools,command-and-control,Linux|Windows|macOS,,,G0008|G0034|G0046|G0049|G0080|G0105|G0115|G0139|G1024|G1032|G1043|G1051,S0030|S0148|S0266|S0384|S0554|S0601|S1245,C0002|C0060,,,M1031|M1034|M1037|M1038|M1042,,,,,10,0,0,1,unknown,,,
T1583.001,Domains,resource-development,PRE,,,G0006|G0007|G0027|G0032|G0034|G0035|G0044|G0045|G0046|G0047|G0049|G0050|G0059|G0065|G0069|G0082|G0090|G0092|G0094|G0099|G0122|G0128|G0129|G0134|G0136|G0137|G0139|G0140|G1001|G1002|G1006|G1011|G1012|G1015|G1018|G1033|G1035|G1036|G1041|G1042|G1044|G1046|G1052|G1055,S1111|S1130|S1207,C0004|C0005|C0006|C0007|C0010|C0011|C0016|C0021|C0022|C0023|C0024|C0026|C0043|C0047|C0058,,,M1056,,,,,10,0,0,1,unknown,,,
T1560.002,Archive via Library,collection,Linux|Windows|macOS,,,G0027|G0032,S0053|S0086|S0091|S0127|S0260|S0348|S0352|S0354|S0467|S0642|S0661|S1044|S1141,,,,,,,,,10,0,0,1,unknown,,,
T1055.003,Thread Execution Hijacking,privilege-escalation|stealth,Windows,,,,S0094|S0168|S0579|S1145,,,,M1040,,,,,10,0,0,1,unknown,,,
T1684,Social Engineering,stealth,Linux|Office Suite|SaaS|Windows|macOS,,,,,,,,M1017|M1036|M1047,,,,,10,0,0,1,unknown,,,
T1079,Multilayer Encryption,command-and-control,Linux|Windows|macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1036,Masquerading,stealth,Containers|ESXi|Linux|Windows|macOS,,,G0007|G0034|G0045|G0049|G0050|G0060|G0068|G0112|G0127|G0128|G0133|G0139|G0140|G1003|G1007|G1016|G1030|G1035|G1046|G1052,S0148|S0266|S0268|S0368|S0446|S0453|S0458|S0466|S0497|S0565|S0615|S0622|S0634|S0635|S0637|S0658|S0661|S0662|S0673|S0682|S0689|S0696|S1015|S1018|S1046|S1066|S1111|S1164|S1183|S1240|S1246|S9010|S9038,C0006|C0015|C0016|C0018|C0035|C0046|C0059,,,M1017|M1018|M1022|M1038|M1040|M1045|M1047|M1049,,,,,10,0,0,1,unknown,,,
T1546.011,Application Shimming,persistence|privilege-escalation,Windows,,,G0046,S0444|S0461|S0517,,,,M1051|M1052,,,,,10,0,0,1,unknown,,,
T1552,Unsecured Credentials,credential-access,Containers|IaaS|Identity Provider|Linux|Network Devices|Office Suite|SaaS|Windows|macOS,,,G1017,S0373|S1091|S1111|S1131,C0049,,,M1015|M1017|M1022|M1026|M1027|M1028|M1035|M1037|M1041|M1047|M1051,,,,,10,0,0,1,unknown,,,
T1547.010,Port Monitors,persistence|privilege-escalation,Windows,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1070.008,Clear Mailbox Data,stealth,Linux|Office Suite|Windows|macOS,,,G1015|G1044,S0477|S1142,C0024,,,M1022|M1029|M1047,,,,,10,0,0,1,unknown,,,
T1037.002,Login Hook,persistence|privilege-escalation,macOS,,,,,,,,M1022,,,,,10,0,0,1,unknown,,,
T1659,Content Injection,command-and-control|initial-access,Linux|Windows|macOS,,,G1019,S1088,,,,M1021|M1041,,,,,10,0,0,1,unknown,,,
T1055,Process Injection,privilege-escalation|stealth,Linux|Windows|macOS,,,G0010|G0047|G0050|G0067|G0068|G0080|G0082|G0091|G0094|G0096|G0102|G1018|G1023|G1043|G1047,S0024|S0032|S0040|S0044|S0084|S0093|S0154|S0168|S0176|S0198|S0201|S0206|S0226|S0240|S0247|S0260|S0266|S0331|S0332|S0347|S0348|S0363|S0376|S0378|S0380|S0398|S0436|S0438|S0446|S0469|S0470|S0473|S0496|S0533|S0534|S0554|S0561|S0579|S0581|S0596|S0614|S0633|S0650|S0660|S0664|S0670|S0681|S0692|S0695|S1039|S1050|S1059|S1065|S1074|S1081|S1100|S1105|S1122|S1159|S1181|S9019|S9020|S9021|S9023|S9025,C0013|C0014|C0028|C0029|C0046|C0056|C0057,,,M1026|M1040,,,,,10,0,0,1,unknown,,,
T1567.004,Exfiltration Over Webhook,exfiltration,ESXi|Linux|Office Suite|SaaS|Windows|macOS,,,,S9008,C0063,,,M1057,,,,,10,0,0,1,unknown,,,
T1139,Bash History,credential-access,Linux|macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1205,Traffic Signaling,command-and-control|persistence|stealth,Linux|Network Devices|Windows|macOS,,,G0094|G0129|G1048,S0022|S0220|S0221|S0430|S0446|S0519|S0587|S0641|S0664|S1114|S1118|S1201|S1203|S1219|S1228|S1239|S9011,C0029|C0056,,,M1037|M1042,,,,,10,0,0,1,unknown,,,
T1021.008,Direct Cloud VM Connections,lateral-movement,IaaS,,,,,,,,M1018|M1042,,,,,10,0,0,1,unknown,,,
T1503,Credentials from Web Browsers,credential-access,Linux|Windows|macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1218,System Binary Proxy Execution,stealth,Linux|Windows|macOS,,,G0032|G1017,,,,,M1021|M1026|M1037|M1038|M1042|M1050,,,,,10,0,0,1,unknown,,,
T1153,Source,execution,Linux|macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1038,DLL Search Order Hijacking,persistence|privilege-escalation|stealth,Windows,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1050,New Service,persistence|privilege-escalation,Windows,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1070.006,Timestomp,stealth,ESXi|Linux|Windows|macOS,,,G0007|G0016|G0032|G0050|G0082|G0094|G0106|G0114|G0129|G1023|G1048,S0020|S0021|S0066|S0072|S0078|S0081|S0083|S0136|S0140|S0141|S0150|S0154|S0164|S0168|S0181|S0185|S0239|S0260|S0352|S0363|S0387|S0393|S0438|S0520|S0568|S0570|S0586|S0603|S0641|S0666|S0687|S1016|S1031|S1059|S1090|S1100|S1135|S1149|S1161|S1164|S1181|S1226|S9023|S9024,C0024|C0029|C0032,,,,,,,,10,0,0,1,unknown,,,
T1557.004,Evil Twin,collection|credential-access,Network Devices,,,G0007,,,,,M1017|M1031,,,,,10,0,0,1,unknown,,,
T1620,Reflective Code Loading,stealth,Linux|Windows|macOS,,,G0032|G0046|G0047|G0094,S0013|S0022|S0154|S0194|S0367|S0447|S0595|S0625|S0661|S0666|S0681|S0689|S0692|S0695|S1022|S1059|S1063|S1081|S1085|S1143|S1145|S1213|S9001|S9011|S9032|S9033,C0057|C0058,,,,,,,,10,0,0,1,unknown,,,
T1016.002,Wi-Fi Discovery,discovery,Linux|Windows|macOS,,,G0059,S0331|S0367|S0409|S0674|S1228,C0051,,,,,,,,10,0,0,1,unknown,,,
T1480.002,Mutual Exclusion,stealth,Linux|Windows|macOS,,,G0082|G0094,S0012|S0013|S0168|S0496|S0562|S0632|S1070|S1161|S1183|S1196|S1202|S1236|S1239|S1242|S1247|S9019|S9023|S9024,,,,M1055,,,,,10,0,0,1,unknown,,,
T1564.011,Ignore Process Interrupts,stealth,Linux|Windows|macOS,,,G0094|G1041|G1048,S0402|S0588|S1161|S1184|S9008,,,,,,,,,10,0,0,1,unknown,,,
T1611,Escape to Host,privilege-escalation,Containers|ESXi|Linux|Windows,,,G0139,S0600|S0601|S0623|S0683,,,,M1026|M1038|M1042|M1048|M1051,,,,,10,0,0,1,unknown,,,
T1518.002,Backup Software Discovery,discovery,Linux|Windows|macOS,,,G0102,,,,,,,,,,10,0,0,1,unknown,,,
T1547.009,Shortcut Modification,persistence|privilege-escalation,Windows,,,G0032|G0065|G0078|G0087,S0004|S0028|S0031|S0035|S0053|S0058|S0085|S0089|S0153|S0168|S0170|S0172|S0244|S0260|S0265|S0267|S0270|S0339|S0356|S0363|S0373|S0439|S0531|S0534|S0652,,,,M1018|M1022|M1038,,,,,10,0,0,1,unknown,,,
T1010,Application Window Discovery,discovery,Linux|Windows|macOS,,,G0032|G1001|G1017,S0012|S0033|S0038|S0094|S0139|S0157|S0198|S0219|S0240|S0260|S0261|S0262|S0265|S0332|S0375|S0385|S0409|S0431|S0435|S0438|S0454|S0455|S0456|S0531|S0650|S0673|S0692|S0696|S1044|S1090|S1111|S1159|S1233|S1239,,,,,,,,,10,0,0,1,unknown,,,
T1569.003,Systemctl,execution,Linux,,,G0139,,,,,M1018,,,,,10,0,0,1,unknown,,,
T1032,Standard Cryptographic Protocol,command-and-control,Linux|Windows|macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1087.003,Email Account,discovery,Office Suite|Windows,,,G0034|G0059|G0092|G1039,S0093|S0266|S0358|S0367|S0413|S0531|S0635|S0681,C0027|C0038,,,,,,,,10,0,0,1,unknown,,,
T1062,Hypervisor,persistence,Windows,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1497.003,Time Based Checks,discovery|stealth,Linux|Windows|macOS,,,,S0115|S0266|S0268|S0386|S0396|S0439|S0447|S0453|S0493|S0512|S0513|S0534|S0554|S0559|S0561|S0565|S0574|S0584|S0588|S0595|S0611|S0626|S0627|S0632|S0642|S0650|S0658|S0660|S0671|S0689|S0694|S0697|S1018|S1034|S1039|S1059|S1063|S1064|S1066|S1086|S1132|S1138|S1141|S1212|S1229|S9003|S9023,C0022,,,,,,,,10,0,0,1,unknown,,,
